Sequence #,Field name,Field description,Controlled value choices
10,Dataset_ID,"The unique identifiers of the dataset(s) (separated by commas) to which the status records that constitute the series belong. More information can be found in the ancillary data file for ""Dataset"". A value of ""-9999"" indicates one or more status records were submitted via the online Nature's Notebook application. ",
20,ObservedBy_Person_ID,"The unique identifiers of the person(s) (separated by commas) who made the status observations that constitute the series. More information can be found in the ancillary data file for ""Person"". A value of ""-1"" indicates the identity of the observer is unknown. ",
30,Partner_Group,"The name of the partner group with which the series is associated.  A value of ""-9999"" indicates the organism being monitored is not associated with a partner group. ",
40,Site_ID,"The unique identifier of the site at which the series was recorded. More information can be found in the ancillary data file for ""Site"".",
50,Site_Name,The user-defined name of the site at which the series was recorded.,
60,Latitude,"The latitude of the site at which the series was recorded. Generally lat/long is calculated from the Google Maps API with a datum of WGS84 (https://developers.google.com/maps), unless a plausible user-defined lat/long was submitted. Information about the datum and source of the lat/long value can be found in the ""Site"" ancillary data file.",
70,Longitude,"The longitude of the site at which the series was recorded. Generally lat/long is calculated from the Google Maps API with a datum of WGS84 (https://developers.google.com/maps), unless a plausible user-defined lat/long was submitted. Information about the datum and source of the lat/long value can be found in the ""Site"" ancillary data file.",
80,Elevation_in_Meters,"The elevation (in meters) of the site at which the series was recorded. Generally elevation is calculated from the Google Maps Elevation API (https://developers.google.com/maps/documentation/elevation/intro), unless a plausible user-defined elevation was submitted. Information about the source of the elevation value can be found in the ""Site"" ancillary data file. A value of ""-9999"" indicates the elevation could not be calculated.",
90,State,"The U.S. state or territory, Mexican state or Canadian province in which the site is located. The state is calculated from lat/long by the Google Maps Geocoding API (https://developers.google.com/maps/documentation/geocoding/intro). A value of ""-9999"" indicates the site does not fall within the boundaries of North America.",
100,Species_ID,The unique identifier of the species for which the series was recorded.,
110,Genus,The taxonomic genus of the organism for which the series was recorded. Taxonomy follows that in the Integrated Taxonomic Information System (http://itis.gov).,
120,Species,"The taxonomic species of the organism for which the series was recorded. Taxonomy follows that in the Integrated Taxonomic Information System (http://itis.gov). In those rare cases where a taxonomic subspecies or varietal is designated, the subspecies or varietal name is appended to the species name after a hypen (e.g. Cornus florida-appalachianspring).",
130,Common_Name,"The common name of the species for which the series was recorded. Common names for plants follow those in the USDA PLANTS Database (http://plants.usda.gov), and for animals, in the NatureServe database (http://explorer.natureserve.org).",
140,Kingdom,The taxonomic kingdom of the organism for which the series was recorded.,Plantae|Animalia
150,Species_Functional_Type,"The plant ecological type or animal guild of the species for which the series was recorded. These functional types are based on the species' phenology protocol assignment, and in a few cases do not correspond with a plant species' established botanical classification (e.g. sub-shrubs that grow more like forbs because woody parts are belowground). Definitions for plant functional types are available at https://docs.google.com/document/d/1eavZ5UzZxiRmfxlmA6t023Z1UD1ggzPbjxBBjPynB0E/pub","Algae|Amphibian|Bird|Cactus|Deciduous broadleaf [tree or shrub]|Deciduous conifer|Evergreen broadleaf [tree or shrub]|Evergreen conifer|Fish|Forb|Graminoid [includes grasses, sedges and rushes]|Insect|Mammal|Reptile|Drought deciduous broadleaf [tree or shrub]|Pine|Semi-evergreen broadleaf [tree or shrub]|Evergreen forb|Semi-evergreen forb"
